LY;REG1;REG2_group_1;REG2_group_2;REG3_group_1;REG3_group_2;REG3_group_3;REG5_group_1;REG5_group_2;REG5_group_3;REG5_group_4;REG5_group_5;REG6_group_1;REG6_group_2;REG6_group_3;REG6_group_4;REG6_group_5;REG6_group_6
0.75;-1;-1;0;-1;0;0;-1;0;0;0;0;-1;0;0;0;0;0
0;-7;-12;-2;-3;-9;-2;-2;-1;-2;-1;-1;-3;-2;-3;-2;-2;-2
0;-2.5;-5;-1;-1;-4;-1;-0.5;-0.5;-0.5;-0.5;-0.5;-1;-1;-1;-1;-1;-1
0;-3.5;-6;-1;-1;-5;-1;-0.5;0.5;-1.5;-1.5;-0.5;-1;0;-2;-2;-1;-1
-0.25;-5.5;-8;-1;-2;-6;-1;-1.5;-1.5;-1.5;-0.5;-0.5;-2;-2;-2;-1;-1;-1
0;-3.5;-11;-3;-2;-9;-3;-0.5;-0.5;-0.5;-0.5;-1.5;-2;-2;-2;-2;-3;-3
0;-2.5;-5;-1;-1;-4;-1;-0.5;0.5;-0.5;-0.5;-1.5;-1;0;-1;-1;-2;-1
0;0;0;0;0;0;0;0;0;1;0;-1;0;0;1;0;-1;0
-0.25;-5.5;-8;-1;-1;-7;-1;-0.5;-0.5;-1.5;-1.5;-1.5;-1;-1;-2;-2;-2;-1
0;-7;-12;-2;-2;-10;-2;-1;-1;-3;-1;-1;-2;-2;-4;-2;-2;-2
0;-2.5;-5;-1;-1;-4;-1;-0.5;-0.5;-0.5;-0.5;-0.5;-1;-1;-1;-1;-1;-1
0;3.5;1;-1;0;1;-1;0.5;0.5;0.5;1.5;0.5;0;0;0;1;0;-1
-0.25;-5.5;-8;-1;-1;-7;-1;-0.5;-0.5;-1.5;-1.5;-1.5;-1;-1;-2;-2;-2;-1
0;-3.5;-6;-1;-2;-4;-1;-1.5;-0.5;-0.5;-0.5;-0.5;-2;-1;-1;-1;-1;-1
0;-2.5;-5;-1;-2;-3;-1;-1.5;-0.5;-0.5;0.5;-0.5;-2;-1;-1;0;-1;-1
0;3.5;6;1;1;5;1;0.5;0.5;0.5;0.5;1.5;1;1;1;1;2;1
0.75;-1;-6;-2;-2;-4;-2;-1;0;0;0;0;-2;-1;-1;-1;-1;-2
0;-7;-12;-2;-2;-10;-2;-1;-1;-1;-2;-2;-2;-2;-2;-3;-3;-2
0;-6;-6;0;-1;-5;0;-1;-1;-1;-2;-1;-1;-1;-1;-2;-1;0
0;-3.5;-6;-1;-1;-5;-1;-0.5;-1.5;-0.5;-0.5;-0.5;-1;-2;-1;-1;-1;-1
-0.25;-2;-2;0;-1;-1;0;-1;0;0;-1;0;-1;0;0;-1;0;0
0;-7;-12;-2;-2;-10;-2;-1;-3;-1;-1;-1;-2;-4;-2;-2;-2;-2
0;-6;-11;-2;-2;-9;-2;-1;-2;-1;-1;-1;-2;-3;-2;-2;-2;-2
0;0;0;0;1;-1;0;1;0;-1;0;0;1;0;-1;0;0;0
